"ID_JUGADOR","NOMBRE_JUGADOR","POSICION","NACIONALIDAD","ANO_NACIMIENTO"
841,"José Callejón","MF,FW","ESP",1987
842,"Étienne Capoue","MF","FRA",1988
843,"Isaac Carcelen","DF","ESP",1993
844,"Yannick Carrasco","DF,MF","BEL",1993
845,"Álex Centelles","DF","ESP",1997
846,"Chumi","DF","ESP",1999
847,"Saúl Coco","DF","EQG",1999
848,"Francis Coquelin","MF","FRA",1991
849,"Theo Corbeanu","MF","CAN",2002
850,"Jesús Corona","DF,FW","MEX",1993
851,"Jaume Costa","DF,MF","ESP",1988
852,"Yan Couto","MF,DF","BRA",2002
853,"Crespo","MF","POR",1996
854,"Cristian","GK","ESP",1998
855,"Iván Cuéllar","GK","ESP",1984
856,"Jorge Cuenca","DF","ESP",1999
857,"Eric Curbelo","DF","ESP",1994
858,"Alberto Dadie","DF","ESP",2002
859,"Moussa Diakité","MF","MLI",2003
860,"Víctor Díaz","DF","ESP",1988
861,"Famara Diedhiou","FW","SEN",1992
862,"Jaume Doménech","GK","ESP",1990
863,"Mario Dominguez","MF","ESP",2004
864,"Carlos Dotor","MF","ESP",2001
865,"Artem Dovbyk","FW","UKR",1997
866,"Rubén Duarte","DF","ESP",1995
867,"Youssef En-Nesyri","FW","MAR",1997
868,"Gonzalo Escalante","MF","ARG",1993
869,"Bernardo Espinosa","DF","COL",1989
870,"Radamel Falcao","FW","COL",1986
871,"Fali","DF","ESP",1993
872,"João Félix","FW","POR",1999
873,"Álex Fernández","MF","ESP",1992
874,"Carlos Fernández","FW","ESP",1996
875,"Raúl Fernández","GK","ESP",1988
876,"Fernando","MF","BRA",1987
877,"Rachad Fettal","FW","MAR",2005
878,"Daniel Fuzato","GK","BRA",1997
879,"Matteo Gabbia","DF","ITA",1999
880,"Aleix García","MF","ESP",1997
881,"Dani García","MF","ESP",1990
882,"David García","DF","ESP",1994
883,"Jastin García","FW","ESP",2004
884,"Raúl García","FW","ESP",1986
885,"Santiago García","MF","ESP",2001
886,"David Gil","GK","ESP",1994
887,"Maxi Gómez","FW","URU",1996
888,"Édgar González","DF,MF","ESP",1997
889,"Giovanni González","DF","URU",1994
890,"Iñaki González","MF","ESP",2004
891,"Pablo Gozalbez","MF","ESP",2001
892,"Mason Greenwood","MF,FW","ENG",2001
893,"Andrés Guardado","MF","MEX",1986
894,"Marc Guiu","FW","ESP",2006
895,"İlkay Gündoğan","MF","GER",1990
896,"Ianis Hagi","MF","ROU",1998
897,"Luiz Henrique","MF","BRA",2001
898,"Mario Hermoso","DF","ESP",1995
899,"Luis Hernández","DF","ESP",1989
900,"Cristian Herrera","MF","ESP",1991
901,"Martin Hongla","MF,DF","CMR",1998
902,"Xabier Huarte Armendáriz","MF","ESP",2001
903,"Imanol","DF","ESP",2000
904,"Luis Javier Suárez","FW,MF","COL",1997
905,"Salim El Jebari","MF","MAR",2004
906,"Jordi","MF","ESP",2001
907,"Jeremy Jorge","FW","ESP",2003
908,"Willian José","FW","BRA",1991
909,"Joselu","FW","ESP",1990
910,"Kamil Jóźwiak","MF","POL",1998
911,"Filip Jørgensen","GK","DEN",2002
912,"Sory Kaba","FW","GUI",1995
913,"Kaiky","DF","BRA",2004
914,"Ibrahima Kebe","MF","MLI",2000
915,"Ibrahima Koné","FW","MLI",1999
916,"Rominigue Kouamé","MF","MLI",1996
917,"Toni Kroos","MF","GER",1990
918,"Érik Lamela","MF","ARG",1992
919,"Bruno Langa","DF","MOZ",1997
920,"Lázaro","MF","BRA",2002
921,"Jeremías Ledesma","GK","ARG",1993
922,"Stefan Lekovic","DF","SRB",2004
923,"Álvaro Lemos","DF","ESP",1993
924,"Dion Lopy","MF","SEN",2002
925,"Anthony Lozano","FW","HON",1993
926,"Lucas","DF","BRA",2001
927,"Nemanja Maksimović","MF","SRB",1995
928,"Wilson Manafá","DF,MF","POR",1994
929,"Aïssa Mandi","DF","ALG",1991
930,"Faitout Maouassa","DF","FRA",1998
931,"José Mari","MF","ESP",1987
932,"Diego Mariño","GK","ESP",1990
933,"Roger Martí","FW","ESP",1991
934,"Marc Martínez","GK","ESP",1990
935,"Luís Maximiano","GK","POR",1999
936,"Mamadou Mbaye","DF","SEN",1998
937,"Hannibal Mejbri","MF","TUN",2003
938,"Óscar Melendo","MF,FW","ESP",1997
939,"Gonzalo Melero","MF,FW","ESP",1994
940,"Memphis","FW","NED",1994
941,"Houboulang Mendes","DF","GNB",1998
942,"Tomás Mendes","MF","ESP",2004
943,"Bruno Méndez","DF","URU",1999
944,"Diego Méndez","MF","ESP",2003
945,"Jorge Meré","DF","ESP",1997
946,"Mikel Merino","MF","ESP",1996
947,"Omenuke Mfulu","MF","COD",1994
948,"Marko Milovanović","FW","SRB",2003
949,"Ignasi Miquel","DF","ESP",1992
950,"Juan Miranda","DF","ESP",2000
951,"Stefan Mitrović","DF","SRB",1990
952,"César Montes","DF","MEX",1997
953,"Álvaro Morata","FW","ESP",1992
954,"Alberto Moreno","DF","ESP",1992
955,"Jorge Moreno","DF","ESP",2001
956,"Yerson Mosquera","DF","COL",2001
957,"Iker Muniain","MF","ESP",1992
958,"Nacho","DF","ESP",1990
959,"Álvaro Negredo","FW","ESP",1985
960,"Carlos Neva","DF","ESP",1996
961,"Peru Nolaskoain","DF,MF","ESP",1998
962,"Brian Ocampo","MF","URU",1999
963,"Samu Omorodion","FW","ESP",2004
964,"Eneko Ortiz","MF","ESP",2003
965,"Milutin Osmajić","FW","MNE",1999
966,"Aiham Ousou","DF","SYR",2000
967,"Joaquín Panichelli","MF,FW","ARG",2002
968,"Sokratis Papastathopoulos","DF","GRE",1988
969,"Pascu","FW","ESP",2003
970,"Gabriel Paulista","DF","BRA",1990
971,"Nicolás Paz","MF","ARG",2004
972,"Facundo Pellistri","MF,FW","URU",2001
973,"Marcos Peña","MF","ESP",2005
974,"Alberto Perea","FW,MF","ESP",1990
975,"Máximo Perrone","MF","ARG",2003
976,"Njegoš Petrović","MF","SRB",1999
977,"Germán Pezzella","DF","ARG",1991
978,"Kamil Piątkowski","DF","POL",2000
979,"José Pozo","FW,MF","ESP",1996
980,"Alejandro Pozo Pozo","DF,MF","ESP",1999
981,"Antonio Puertas","MF,FW","ESP",1992
982,"Arnau Puigmal","MF,DF","ESP",2001
983,"Nemanja Radonjić","MF","SRB",1996
984,"Aleksandar Radovanović","DF","SRB",1993
985,"Abdellah Raihani","FW","MAR",2004
986,"Predrag Rajković","GK","SRB",1995
987,"Ivan Rakitić","MF","CRO",1988
988,"Chris Ramos","FW","ESP",1997
989,"Sergio Ramos","DF","ESP",1986
990,"Pepe Reina","GK","ESP",1982
991,"Chadi Riad","DF","MAR",2003
992,"Sergi Roberto","MF,DF","ESP",1992
993,"Lucas Robertone","MF","ARG",1997
994,"Sergio Rodelas","MF,FW","ESP",2004
995,"Miguel Rodríguez","MF","ESP",2003
996,"Unai Ropero","FW","ESP",2001
997,"Sergio Ruiz","MF","ESP",1994
998,"Pablo Saenz","MF","ESP",2001
999,"Salvi","MF","ESP",1991
1000,"Diadie Samassékou","MF","MLI",1996
1001,"Fede San Emeterio","MF","ESP",1997
1002,"Ricard Sánchez","DF","ESP",2000
1003,"Paco Sanz","DF","ESP",2004
1004,"Stefan Savić","DF","MNE",1991
1005,"Sávio","MF,FW","BRA",2004
1006,"Rubén Sobrino","MF,FW","ESP",1992
1007,"Alberto Soro","FW,MF","ESP",1999
1008,"Boubakary Soumaré","MF","FRA",1999
1009,"Çağlar Söyüncü","DF","TUR",1996
