"ID_RENDIMIENTO","ID_JUGADOR","ID_EQUIPO","ID_TEMPORADA","ID_COMPETICION","PARTIDOS_JUGADOS","TITULARIDADES","MINUTOS","GOLES","ASISTENCIAS","TARJETAS_AMARILLAS","TARJETAS_ROJAS"
705,633,22,2,1,34,31,2435,3,1,3,1
706,634,9,2,1,4,2,163,0,0,0,0
707,125,23,2,1,25,21,1779,0,0,6,0
708,126,20,2,1,35,30,2560,4,2,7,0
709,635,20,2,1,22,22,1962,0,1,2,0
710,636,1,2,1,22,9,847,1,0,8,0
711,127,11,2,1,25,16,1528,0,0,6,0
712,637,19,2,1,2,0,15,0,0,0,0
713,638,3,2,1,31,3,805,4,1,3,1
714,129,19,2,1,11,9,768,0,0,1,0
715,131,8,2,1,19,12,1006,1,1,4,0
716,639,20,2,1,32,28,2587,2,1,3,0
717,132,11,2,1,32,31,2649,0,2,10,1
718,134,16,2,1,30,30,2700,0,0,1,0
719,135,12,2,1,25,19,1492,0,0,4,0
720,640,22,2,1,34,26,2257,5,4,2,0
721,136,4,2,1,35,29,2618,0,3,3,0
722,138,15,2,1,15,14,1139,5,1,0,0
723,140,9,2,1,25,15,1335,2,0,2,0
724,141,11,2,1,38,34,2744,2,6,4,0
725,641,3,2,1,34,23,2106,3,5,7,0
726,147,19,2,1,13,7,653,2,0,0,0
727,642,15,2,1,10,2,277,1,2,0,0
728,149,1,2,1,26,20,1866,0,0,6,0
729,150,16,2,1,31,16,1385,4,2,0,0
730,151,17,2,1,1,0,10,0,0,0,0
731,153,14,2,1,26,12,1211,3,0,2,0
732,643,22,2,1,28,13,1195,3,0,2,0
733,154,19,2,1,4,4,360,0,0,1,0
734,644,22,2,1,10,6,545,2,1,1,0
735,645,2,2,1,17,7,659,1,0,2,0
736,156,8,2,1,31,31,2548,0,0,10,1
737,157,22,2,1,32,32,2880,0,0,0,0
738,159,11,2,1,10,3,303,0,0,0,0
739,160,5,2,1,19,13,1181,0,0,1,0
740,646,18,2,1,1,0,18,0,0,0,0
741,647,4,2,1,3,2,172,0,0,1,0
742,648,5,2,1,20,6,700,3,1,2,0
743,162,8,2,1,22,21,1859,1,0,4,2
744,649,22,2,1,10,1,179,0,0,1,0
745,163,5,2,1,27,15,1394,4,4,3,0
746,164,19,2,1,31,25,2166,11,2,5,0
747,167,18,2,1,25,9,966,2,1,0,0
748,169,17,2,1,22,16,1457,0,0,2,1
749,650,14,2,1,35,18,1607,1,1,4,0
750,170,16,2,1,22,3,363,1,0,1,0
751,174,14,2,1,16,9,833,0,1,4,0
752,651,21,2,1,27,25,1938,1,0,11,2
753,652,14,2,1,2,0,40,0,0,0,0
754,176,20,2,1,4,0,37,1,0,0,0
755,177,7,2,1,19,12,1045,0,2,3,0
756,178,15,2,1,32,23,1984,2,2,2,0
757,653,4,2,1,6,3,233,0,0,1,0
758,654,15,2,1,2,2,180,0,1,0,0
759,182,20,2,1,28,27,2227,0,1,7,0
760,655,12,2,1,1,1,90,0,0,0,0
761,656,18,2,1,9,8,747,0,0,2,0
762,185,14,2,1,2,1,98,0,0,1,0
763,186,7,2,1,19,18,1497,6,0,1,0
764,657,11,2,1,18,1,309,2,0,1,0
765,658,23,2,1,6,6,540,0,0,0,0
766,659,15,2,1,6,1,153,0,0,1,0
